set_number,name,year_released,number_of_parts,image_url,theme_name
652-1,1:87 Mercedes Truck/Trailer,1964,1,https://cdn.rebrickable.com/media/sets/652-1.jpg,HO 1:87 Vehicles
653-2,1:87 Mercedes Flatbed Truck,1964,1,https://cdn.rebrickable.com/media/sets/653-2.jpg,HO 1:87 Vehicles
655-2,1:87 Mercedes Fire Truck,1964,1,https://cdn.rebrickable.com/media/sets/655-2.jpg,HO 1:87 Vehicles
656-2,1:87 Mercedes Tow Truck,1964,1,https://cdn.rebrickable.com/media/sets/656-2.jpg,HO 1:87 Vehicles
657-2,1:87 Mercedes Delivery Van,1964,1,https://cdn.rebrickable.com/media/sets/657-2.jpg,HO 1:87 Vehicles
659-2,1:87 VW Pickup,1964,1,https://cdn.rebrickable.com/media/sets/659-2.jpg,HO 1:87 Vehicles
661-2,1:87 VW Beetle,1964,1,https://cdn.rebrickable.com/media/sets/661-2.jpg,HO 1:87 Vehicles
664-2,1:87 Mercedes 220 S,1964,1,https://cdn.rebrickable.com/media/sets/664-2.jpg,HO 1:87 Vehicles
665-1,1:87 Karmann Ghia,1964,1,https://cdn.rebrickable.com/media/sets/665-1.jpg,HO 1:87 Vehicles
666-1,1:87 Mercedes Sport,1964,1,https://cdn.rebrickable.com/media/sets/666-1.jpg,HO 1:87 Vehicles
667-1,1:87 VW 1500,1964,1,https://cdn.rebrickable.com/media/sets/667-1.jpg,HO 1:87 Vehicles
668-1,1:87 Ford Taunus 17M,1964,1,https://cdn.rebrickable.com/media/sets/668-1.jpg,HO 1:87 Vehicles
671-3,1:87 Vauxhall Victor Estate with Garage,1964,1,https://cdn.rebrickable.com/media/sets/671-3.jpg,HO 1:87 Vehicles
799-1,"Baseplate, Gray",1964,1,https://cdn.rebrickable.com/media/sets/799-1.jpg,Supplemental
654-2,1:87 Mercedes Flatbed Truck/Trailer,1964,2,https://cdn.rebrickable.com/media/sets/654-2.jpg,HO 1:87 Vehicles
670-3,1:87 Jaguar E-Type with Garage,1964,3,https://cdn.rebrickable.com/media/sets/670-3.jpg,HO 1:87 Vehicles
402-2,White Turntables,1964,5,https://cdn.rebrickable.com/media/sets/402-2.jpg,Supplemental
401-3,Large Wheels with Axles (System),1964,7,https://cdn.rebrickable.com/media/sets/401-3.jpg,Supplemental
041-1,Pre-School Beginners Set,1964,24,https://cdn.rebrickable.com/media/sets/041-1.jpg,Jumbo Bricks
303-2,Aeroplane,1964,46,https://cdn.rebrickable.com/media/sets/303-2.jpg,Vehicle
803-3,Seesaw,1964,47,https://cdn.rebrickable.com/media/sets/803-3.jpg,System
804-2,Building Crane,1964,64,https://cdn.rebrickable.com/media/sets/804-2.jpg,System
304-2,Tractor & Trailer,1964,82,https://cdn.rebrickable.com/media/sets/304-2.jpg,Vehicle
806-2,Cowboy & Pony,1964,87,https://cdn.rebrickable.com/media/sets/806-2.jpg,System
805-2,3 Little Indians,1964,89,https://cdn.rebrickable.com/media/sets/805-2.jpg,System
802-3,Player Piano,1964,90,https://cdn.rebrickable.com/media/sets/802-3.jpg,System
802A-1,Player Piano,1964,90,https://cdn.rebrickable.com/media/sets/802a-1.jpg,System
801-3,Space Rocket,1964,115,https://cdn.rebrickable.com/media/sets/801-3.jpg,System
305-2,Fire Engine,1964,170,https://cdn.rebrickable.com/media/sets/305-2.jpg,Vehicle
322-2,Town House,1964,171,https://cdn.rebrickable.com/media/sets/322-2.jpg,Building
324-2,House with Garage,1964,174,https://cdn.rebrickable.com/media/sets/324-2.jpg,Building
323-1,Train,1964,253,https://cdn.rebrickable.com/media/sets/323-1.jpg,Vehicle
